class,feature,weight
ENG,bi_84,-0.011298249570347233
ENG,bi_85,-0.032702645846267836
ENG,bi_86,-0.00446050926358654
ENG,bi_88,-0.011050121867839775
ENG,bi_89,-0.009374890920565907
ENG,bi_8n,-0.011050336757340037
ENG,bi_8t,0.0
ENG,bi_9-,-0.028365834928492054
ENG,bi_90,-0.0994559960603534
ENG,bi_91,-0.0177851354054996
ENG,bi_92,-0.01212040624510127
ENG,bi_94,-0.010439620080824018
ENG,bi_95,-0.012205544996032535
ENG,bi_98,-0.007333230294594534
ENG,bi_99,-0.007519186137395128
ENG,bi_9:,-0.0051838007320474016
ENG,bi_9k,-0.07000349586110521
ENG,bi_9m,-0.23264312716814067
ENG,bi_9t,0.0
ENG,bi_:0,-0.01157000109408762
ENG,bi_:1,-0.0067634665740966
ENG,bi_:2,0.0
ENG,bi_:3,-0.0031847521261146464
ENG,bi_:4,-0.005391873238407705
ENG,bi_:8,-0.0008900761707455859
ENG,bi_^t,-0.07347875620897168
ENG,bi__g,-0.01878021195917534
ENG,bi_`y,-0.020114770531676783
ENG,bi_a',0.40851554763004744
ENG,bi_a-,-0.6380374779340545
ENG,bi_a2,-0.2764288880125796
ENG,bi_a3,0.0
ENG,bi_a4,2.1359099166035795
ENG,bi_a5,0.0
ENG,bi_a8,-0.016458492638456085
ENG,bi_aa,-0.5552855268909196
ENG,bi_ab,0.24149533300210124
ENG,bi_ac,0.46826766280779225
ENG,bi_ad,0.4857960878119183
ENG,bi_ae,-0.7964325701136197
ENG,bi_af,0.47972536525632686
ENG,bi_ag,-0.6513229625058019
ENG,bi_ah,-1.5909147768975804
ENG,bi_ai,0.9751345472509333
ENG,bi_aj,0.6491849305693984
ENG,bi_ak,-0.8218168806313307
ENG,bi_al,0.7333202073885167
ENG,bi_am,1.0324175031584069
ENG,bi_an,0.3599354924389068
ENG,bi_ao,0.016187900534145507
ENG,bi_ap,0.9734768824500304
ENG,bi_aq,-0.25207378575584755
ENG,bi_ar,0.7908729335954183
ENG,bi_as,0.7159502610330409
